priority_number,priority_date,application_number,provisional,n,priority_country,application_country,filing_order,duplicate_priority
US2016578323F 2016-09-20,2016-09-20,US2016578323F 2016-09-20,FALSE,1,US,US,1,FALSE
US14954632A 2015-11-30,2015-11-30,US14954632A 2015-11-30,FALSE,1,US,US,1,FALSE
US15360203A 2016-11-23,2016-11-23,US15360203A 2016-11-23,FALSE,1,US,US,1,FALSE
US62203383P 2015-08-10,2015-08-10,US15454805A 2017-03-09,TRUE,2,US,US,1,FALSE
US62200764P 2015-08-04,2015-08-04,US15263985A 2016-09-13,TRUE,2,US,US,1,FALSE
KR201528901A 2015-03-02,2015-03-02,US15057264A 2016-03-01,FALSE,1,KR,US,1,FALSE
US2015196885P 2015-07-24,2015-07-24,US15217944A 2016-07-22,TRUE,3,US,US,1,FALSE
US2008100721P 2008-09-27,2008-09-27,US14808174A 2015-07-24,TRUE,22,US,US,1,FALSE
FR20142036A 2014-09-12,2014-09-12,US14848061A 2015-09-08,FALSE,1,FR,US,1,FALSE
US14970643A 2015-12-16,2015-12-16,US14970643A 2015-12-16,FALSE,1,US,US,1,FALSE
US201347157A 2013-10-07,2013-10-07,US14883633A 2015-10-15,FALSE,3,US,US,1,FALSE
IL236752A 2015-01-15,2015-01-15,US15134413A 2016-04-21,FALSE,1,IL,US,1,FALSE
GB20153083A 2015-02-24,2015-02-24,US15051948A 2016-02-24,FALSE,1,GB,US,1,FALSE
US15010351A 2016-01-29,2016-01-29,US15010351A 2016-01-29,FALSE,1,US,US,1,FALSE
US62301858P 2016-03-01,2016-03-01,US15206671A 2016-07-11,TRUE,1,US,US,1,FALSE
US15053888A 2016-02-25,2016-02-25,US15053888A 2016-02-25,FALSE,1,US,US,1,FALSE
US13926517A 2013-06-25,2013-06-25,US13926517A 2013-06-25,FALSE,1,US,US,1,FALSE
US62133061P 2015-03-13,2015-03-13,US15069675A 2016-03-14,TRUE,1,US,US,1,FALSE
US13653475A 2012-10-17,2012-10-17,US13653475A 2012-10-17,FALSE,1,US,US,1,FALSE
US14622134A 2015-02-13,2015-02-13,US14622134A 2015-02-13,FALSE,1,US,US,1,FALSE
JP2015122335A 2015-06-17,2015-06-17,US15322008A 2016-12-23,FALSE,2,JP,US,1,FALSE
US2014940805P 2014-02-17,2014-02-17,US14533756A 2014-11-05,TRUE,2,US,US,1,FALSE
US62271212P 2015-12-22,2015-12-22,US15486005A 2017-04-12,TRUE,1,US,US,1,FALSE
US14337149A 2014-07-21,2014-07-21,US14337149A 2014-07-21,FALSE,1,US,US,1,FALSE
US15346251A 2016-11-08,2016-11-08,US15346251A 2016-11-08,FALSE,1,US,US,1,FALSE
US2014965784P 2014-02-08,2014-02-08,US15530341A 2016-12-27,TRUE,1,US,US,1,FALSE
US62066793P 2014-10-21,2014-10-21,US14919645A 2015-10-21,TRUE,1,US,US,1,FALSE
US62079119P 2014-11-13,2014-11-13,US14824467A 2015-08-12,TRUE,1,US,US,1,FALSE
US2016620248F 2016-09-02,2016-09-02,US2016620248F 2016-09-02,FALSE,1,US,US,1,FALSE
US14835329A 2015-08-25,2015-08-25,US14835329A 2015-08-25,FALSE,1,US,US,1,FALSE
US15174819A 2016-06-06,2016-06-06,US15174819A 2016-06-06,FALSE,1,US,US,1,FALSE
US2013898275P 2013-10-31,2013-10-31,US14530548A 2014-10-31,TRUE,2,US,US,1,FALSE
US2015274112P 2015-12-31,2015-12-31,US15341809A 2016-11-02,TRUE,8,US,US,1,FALSE
US201476360P 2014-11-06,2014-11-06,US15257640A 2016-09-06,TRUE,7,US,US,1,FALSE
KR2015101007A 2015-07-16,2015-07-16,US15208639A 2016-07-13,FALSE,1,KR,US,1,FALSE
JP2015181748A 2015-09-15,2015-09-15,US14982273A 2015-12-29,FALSE,1,JP,US,1,FALSE
US14051213A 2013-10-10,2013-10-10,US14218790A 2014-03-18,FALSE,41,US,US,1,FALSE
US14521033A 2014-10-22,2014-10-22,US14521033A 2014-10-22,FALSE,1,US,US,1,FALSE
US2015197336P 2015-07-27,2015-07-27,US15218609A 2016-07-25,TRUE,3,US,US,1,FALSE
US13551266A 2012-07-17,2012-07-17,US13601169A 2012-08-31,FALSE,23,US,US,1,FALSE
US201426292P 2014-07-18,2014-07-18,US14839174A 2015-08-28,TRUE,8,US,US,1,FALSE
US201414650P 2014-06-19,2014-06-19,US14689008A 2015-04-16,TRUE,5,US,US,1,FALSE
TW2016102090A 2016-01-22,2016-01-22,US15131844A 2016-04-18,FALSE,2,TW,US,1,FALSE
US62045209P 2014-09-03,2014-09-03,US14692808A 2015-04-22,TRUE,2,US,US,1,FALSE
EP2012306341A 2012-10-26,2012-10-26,US14438601A 2015-04-24,FALSE,2,EP,US,1,FALSE
FR201552813A 2015-04-01,2015-04-01,US15087883A 2016-03-31,FALSE,1,FR,US,1,FALSE
US13859424A 2013-04-09,2013-04-09,US13859424A 2013-04-09,FALSE,1,US,US,1,FALSE
US201477441P 2014-11-10,2014-11-10,US14935759A 2015-11-09,TRUE,3,US,US,1,FALSE
US201490751P 2014-12-11,2014-12-11,US14933265A 2015-11-05,TRUE,5,US,US,1,FALSE
US2016326921P 2016-04-25,2016-04-25,US15495497A 2017-04-24,TRUE,3,US,US,1,FALSE
US201429586P 2014-07-28,2014-07-28,US14759864A 2015-07-08,TRUE,4,US,US,1,FALSE
US14314520A 2014-06-25,2014-06-25,US14314520A 2014-06-25,FALSE,1,US,US,1,FALSE
US15331989A 2016-10-24,2016-10-24,US15331989A 2016-10-24,FALSE,1,US,US,1,FALSE
US2016326942P 2016-04-25,2016-04-25,US15387554A 2016-12-21,TRUE,3,US,US,1,FALSE
US15136276A 2016-04-22,2016-04-22,US15136276A 2016-04-22,FALSE,1,US,US,1,FALSE
US2015231481P 2015-07-06,2015-07-06,US14999343A 2016-04-25,TRUE,3,US,US,1,FALSE
GB201210010A 2012-06-07,2012-06-07,US15169979A 2016-06-01,FALSE,3,GB,US,1,FALSE
US15044917A 2016-02-16,2016-02-16,US15044917A 2016-02-16,FALSE,1,US,US,1,FALSE
JP2015217657A 2015-11-05,2015-11-05,US15461552A 2017-03-17,FALSE,3,JP,US,1,FALSE
US2013861886P 2013-08-02,2013-08-02,US15187764A 2016-06-20,TRUE,6,US,US,1,FALSE
US201427021P 2014-07-21,2014-07-21,US14798757A 2015-07-14,TRUE,27,US,US,1,FALSE
US13975590A 2013-08-26,2013-08-26,US15147766A 2016-05-05,FALSE,4,US,US,1,FALSE
US2013916727P 2013-12-16,2013-12-16,US14571759A 2014-12-16,TRUE,2,US,US,1,FALSE
US15061262A 2016-03-04,2016-03-04,US15061262A 2016-03-04,FALSE,1,US,US,1,FALSE
US14318373A 2014-06-27,2014-06-27,US14318373A 2014-06-27,FALSE,1,US,US,1,FALSE
US15280274A 2016-09-29,2016-09-29,US15280274A 2016-09-29,FALSE,1,US,US,1,FALSE
US14532343A 2014-11-04,2014-11-04,US15002242A 2016-01-20,FALSE,10,US,US,1,FALSE
US15239668A 2016-08-17,2016-08-17,US15239668A 2016-08-17,FALSE,1,US,US,1,FALSE
US15130874A 2016-04-15,2016-04-15,US15130874A 2016-04-15,FALSE,1,US,US,1,FALSE
US14581881A 2014-12-23,2014-12-23,US14581881A 2014-12-23,FALSE,1,US,US,1,FALSE
US2015174738P 2015-06-12,2015-06-12,US15179076A 2016-06-10,TRUE,3,US,US,1,FALSE
US14031418A 2013-09-19,2013-09-19,US14031418A 2013-09-19,FALSE,1,US,US,1,FALSE
US2015217536P 2015-09-11,2015-09-11,US15056965A 2016-02-29,TRUE,16,US,US,1,FALSE
US15172130A 2016-06-02,2016-06-02,US15172130A 2016-06-02,FALSE,1,US,US,1,FALSE
US2014981674P 2014-04-18,2014-04-18,US14689865A 2015-04-17,TRUE,2,US,US,1,FALSE
US15186671A 2016-06-20,2016-06-20,US15186671A 2016-06-20,FALSE,1,US,US,1,FALSE
US14886982A 2015-10-19,2015-10-19,US14886982A 2015-10-19,FALSE,1,US,US,1,FALSE
US15079127A 2016-03-24,2016-03-24,US15079127A 2016-03-24,FALSE,1,US,US,1,FALSE
US15418345A 2017-01-27,2017-01-27,US15418345A 2017-01-27,FALSE,1,US,US,1,FALSE
US14931219A 2015-11-03,2015-11-03,US15397007A 2017-01-03,FALSE,3,US,US,1,FALSE
TW2013121354A 2013-06-17,2013-06-17,US15448554A 2017-03-02,FALSE,3,TW,US,1,FALSE
US14865531A 2015-09-25,2015-09-25,US14865531A 2015-09-25,FALSE,1,US,US,1,FALSE
EP2011162505A 2011-04-14,2011-04-14,US14002669A 2013-08-30,FALSE,2,EP,US,1,FALSE
US14662097A 2015-03-18,2015-03-18,US15163977A 2016-05-25,FALSE,3,US,US,1,FALSE
US14500264A 2014-09-29,2014-09-29,US14500264A 2014-09-29,FALSE,1,US,US,1,FALSE
US2015161674P 2015-05-14,2015-05-14,US15154069A 2016-05-13,TRUE,3,US,US,1,FALSE
US2009156154P 2009-02-27,2009-02-27,US15361287A 2016-11-25,TRUE,9,US,US,1,FALSE
US2009152566P 2009-02-13,2009-02-13,US13947190A 2013-07-22,TRUE,4,US,US,1,FALSE
US14183648A 2014-02-19,2014-02-19,US15041677A 2016-02-11,FALSE,3,US,US,1,FALSE
US14959265A 2015-12-04,2015-12-04,US14959265A 2015-12-04,FALSE,1,US,US,1,FALSE
US2015103415P 2015-01-14,2015-01-14,US14663989A 2015-03-20,TRUE,4,US,US,1,FALSE
US13918298A 2013-06-14,2013-06-14,US13918298A 2013-06-14,FALSE,1,US,US,1,FALSE
US14527261A 2014-10-29,2014-10-29,US14527261A 2014-10-29,FALSE,1,US,US,1,FALSE
US201436254P 2014-08-12,2014-08-12,US14990259A 2016-01-07,TRUE,5,US,US,1,FALSE
US14578046A 2014-12-19,2014-12-19,US14578046A 2014-12-19,FALSE,1,US,US,1,FALSE
US14499154A 2014-09-27,2014-09-27,US14499154A 2014-09-27,FALSE,2,US,US,1,FALSE
US14968372A 2015-12-14,2015-12-14,US14968372A 2015-12-14,FALSE,1,US,US,1,FALSE
US2005754824P 2005-12-28,2005-12-28,US2006645207A 2006-12-21,TRUE,3,US,US,1,FALSE
US2015260749P 2015-11-30,2015-11-30,US15351861A 2016-11-15,TRUE,3,US,US,1,FALSE
US14791153A 2015-07-02,2015-07-02,US14791153A 2015-07-02,FALSE,1,US,US,1,FALSE
US15595913A 2017-05-15,2017-05-15,US15595913A 2017-05-15,FALSE,1,US,US,1,FALSE
WO2016US65141A 2016-12-06,2016-12-06,US15387024A 2016-12-21,FALSE,2,WO,US,1,FALSE
TW20165110720A 2016-04-06,2016-04-06,US15181580A 2016-06-14,FALSE,1,TW,US,1,FALSE
US15294435A 2016-10-14,2016-10-14,US15362108A 2016-11-28,FALSE,3,US,US,1,FALSE
US15353505A 2016-11-16,2016-11-16,US15353505A 2016-11-16,FALSE,1,US,US,1,FALSE
US15347232A 2016-11-09,2016-11-09,US15347232A 2016-11-09,FALSE,1,US,US,1,FALSE
US15372125A 2016-12-07,2016-12-07,US15372125A 2016-12-07,FALSE,1,US,US,1,FALSE
US2015549173F 2015-12-18,2015-12-18,US2015549173F 2015-12-18,FALSE,1,US,US,1,FALSE
US2015549174F 2015-12-18,2015-12-18,US2015549174F 2015-12-18,FALSE,1,US,US,1,FALSE
US15072784A 2016-03-17,2016-03-17,US15072784A 2016-03-17,FALSE,1,US,US,1,FALSE
US2002415546P 2002-10-01,2002-10-01,US15350458A 2016-11-14,TRUE,17,US,US,1,FALSE
US15230678A 2016-08-08,2016-08-08,US15230678A 2016-08-08,FALSE,1,US,US,1,FALSE
US14792824A 2015-07-07,2015-07-07,US14792824A 2015-07-07,FALSE,1,US,US,1,FALSE
US2010749412A 2010-03-29,2010-03-29,US2016566368F 2016-05-27,FALSE,9,US,US,1,FALSE
US2013910202P 2013-11-29,2013-11-29,US14446360A 2014-07-30,TRUE,4,US,US,1,FALSE
US14609226A 2015-01-29,2015-01-29,US14985184A 2015-12-30,FALSE,3,US,US,1,FALSE
US201416052P 2014-06-23,2014-06-23,US14987679A 2016-01-04,TRUE,7,US,US,1,FALSE
US14878676A 2015-10-08,2015-10-08,US14878676A 2015-10-08,FALSE,1,US,US,1,FALSE
US2015193541P 2015-07-16,2015-07-16,US15209717A 2016-07-13,TRUE,3,US,US,1,FALSE
US2015272750P 2015-12-30,2015-12-30,US15157887A 2016-05-18,TRUE,3,US,US,1,FALSE
US14610870A 2015-01-30,2015-01-30,US14610870A 2015-01-30,FALSE,1,US,US,1,FALSE
US2012737072P 2012-12-13,2012-12-13,US13802291A 2013-03-13,TRUE,62,US,US,1,FALSE
US13891369A 2013-05-10,2013-05-10,US13927870A 2013-06-26,FALSE,3,US,US,1,FALSE
US13190235A 2011-07-25,2011-07-25,US13190235A 2011-07-25,FALSE,1,US,US,1,FALSE
KR2014120782A 2014-09-12,2014-09-12,US14801860A 2015-07-17,FALSE,1,KR,US,1,FALSE
US2014954267P 2014-03-17,2014-03-17,US15072149A 2016-03-16,TRUE,6,US,US,1,FALSE
FR2014684A 2014-03-21,2014-03-21,US14664427A 2015-03-20,FALSE,1,FR,US,1,FALSE
US2012662980P 2012-06-22,2012-06-22,US15277915A 2016-09-27,TRUE,12,US,US,1,FALSE
US14962097A 2015-12-08,2015-12-08,US14962097A 2015-12-08,FALSE,1,US,US,1,FALSE
US201464323P 2014-10-15,2014-10-15,US14674845A 2015-03-31,TRUE,3,US,US,1,FALSE
US14572275A 2014-12-16,2014-12-16,US15098124A 2016-04-13,FALSE,3,US,US,1,FALSE
US201466422P 2014-10-21,2014-10-21,US14918154A 2015-10-20,TRUE,3,US,US,1,FALSE
US14317909A 2014-06-27,2014-06-27,US14317909A 2014-06-27,FALSE,2,US,US,1,FALSE
US2014949530P 2014-03-07,2014-03-07,US15394445A 2016-12-29,TRUE,4,US,US,1,FALSE
FR2013275A 2013-02-08,2013-02-08,US14175620A 2014-02-07,FALSE,1,FR,US,1,FALSE
US14944774A 2015-11-18,2015-11-18,US15332410A 2016-10-24,FALSE,3,US,US,1,FALSE
US15086241A 2016-03-31,2016-03-31,US15086241A 2016-03-31,FALSE,1,US,US,1,FALSE
BR10201513644A 2015-06-10,2015-06-10,US15178750A 2016-06-10,FALSE,2,BR,US,1,FALSE
US201452292P 2014-09-18,2014-09-18,US14532121A 2014-11-04,TRUE,3,US,US,1,FALSE
US14325994A 2014-07-08,2014-07-08,US15470610A 2017-03-27,FALSE,7,US,US,1,FALSE
US14282145A 2014-05-20,2014-05-20,US14282145A 2014-05-20,FALSE,1,US,US,1,FALSE
US2008132184P 2008-06-16,2008-06-16,US15145542A 2016-05-03,TRUE,19,US,US,1,FALSE
US2015144044P 2015-04-07,2015-04-07,US15061481A 2016-03-04,TRUE,3,US,US,1,FALSE
US2015237245P 2015-10-05,2015-10-05,US15400784A 2017-01-06,TRUE,7,US,US,1,FALSE
US15239655A 2016-08-17,2016-08-17,US15239655A 2016-08-17,FALSE,1,US,US,1,FALSE
US15085879A 2016-03-30,2016-03-30,US15085879A 2016-03-30,FALSE,1,US,US,1,FALSE
US15388212A 2016-12-22,2016-12-22,US15388212A 2016-12-22,FALSE,1,US,US,1,FALSE
US14656531A 2015-03-12,2015-03-12,US14656531A 2015-03-12,FALSE,1,US,US,1,FALSE
US2016578326F 2016-09-20,2016-09-20,US2016578326F 2016-09-20,FALSE,1,US,US,1,FALSE
US14481647A 2014-09-09,2014-09-09,US14481647A 2014-09-09,FALSE,1,US,US,1,FALSE
US2015233594P 2015-09-28,2015-09-28,US14991698A 2016-01-08,TRUE,3,US,US,1,FALSE
US14988297A 2016-01-05,2016-01-05,US14988297A 2016-01-05,FALSE,1,US,US,1,FALSE
US2016300363P 2016-02-26,2016-02-26,US15441111A 2017-02-23,TRUE,3,US,US,1,FALSE
US14165320A 2014-01-27,2014-01-27,US14165320A 2014-01-27,FALSE,2,US,US,1,FALSE
US2007647705A 2007-12-28,2007-12-28,US14815121A 2015-07-31,FALSE,146,US,US,1,FALSE
US14315259A 2014-06-25,2014-06-25,US14315259A 2014-06-25,FALSE,1,US,US,1,FALSE
US13673019A 2012-11-09,2012-11-09,US14836099A 2015-08-26,FALSE,4,US,US,1,FALSE
FR20142940A 2014-12-19,2014-12-19,US14977172A 2015-12-21,FALSE,1,FR,US,1,FALSE
US14702672A 2015-05-02,2015-05-02,US14702672A 2015-05-02,FALSE,1,US,US,1,FALSE
US14855434A 2015-09-16,2015-09-16,US14855434A 2015-09-16,FALSE,1,US,US,1,FALSE
US2015166897P 2015-05-27,2015-05-27,US15166553A 2016-05-27,TRUE,3,US,US,1,FALSE
US2013880166P 2013-09-19,2013-09-19,US15021680A 2016-03-11,TRUE,9,US,US,1,FALSE
US201474592P 2014-11-03,2014-11-03,US14743742A 2015-06-18,TRUE,5,US,US,1,FALSE
US2013882448P 2013-09-25,2013-09-25,US14495335A 2014-09-24,TRUE,2,US,US,1,FALSE
US13720694A 2012-12-19,2012-12-19,US13722874A 2012-12-20,FALSE,3,US,US,1,FALSE
US14491780A 2014-09-19,2014-09-19,US14491780A 2014-09-19,FALSE,1,US,US,1,FALSE
US14535281A 2014-11-06,2014-11-06,US14535281A 2014-11-06,FALSE,1,US,US,1,FALSE
CN201530561791F 2015-12-28,2015-12-28,US2016569110F 2016-06-23,FALSE,1,CN,US,1,FALSE
US2014969634P 2014-03-24,2014-03-24,US14665733A 2015-03-23,TRUE,2,US,US,1,FALSE
US2011566143P 2011-12-02,2011-12-02,US13693038A 2012-12-03,TRUE,3,US,US,1,FALSE
US2015127556P 2015-03-03,2015-03-03,US15060275A 2016-03-03,TRUE,9,US,US,1,FALSE
US201429680P 2014-07-28,2014-07-28,US15400155A 2017-01-06,TRUE,7,US,US,1,FALSE
US2010337998P 2010-02-12,2010-02-12,US14244283A 2014-04-03,TRUE,6,US,US,1,FALSE
IL229078A 2013-10-24,2013-10-24,US14767929A 2015-08-14,FALSE,2,IL,US,1,FALSE
US62022010P 2014-07-08,2014-07-08,US14824509A 2015-08-12,TRUE,2,US,US,1,FALSE
US2016274723P 2016-01-04,2016-01-04,US15196015A 2016-06-28,TRUE,3,US,US,1,FALSE
US14323549A 2014-07-03,2014-07-03,US15412745A 2017-01-23,FALSE,10,US,US,1,FALSE
US2010308973P 2010-02-28,2010-02-28,US13342968A 2012-01-03,TRUE,18,US,US,1,FALSE
US15418419A 2017-01-27,2017-01-27,US15418419A 2017-01-27,FALSE,1,US,US,1,FALSE
US15007558A 2016-01-27,2016-01-27,US15007558A 2016-01-27,FALSE,1,US,US,1,FALSE
US2012659174P 2012-06-13,2012-06-13,US14735475A 2015-06-10,TRUE,27,US,US,1,FALSE
US15134445A 2016-04-21,2016-04-21,US15447848A 2017-03-02,FALSE,3,US,US,1,FALSE
US2015273222P 2015-12-30,2015-12-30,US15268241A 2016-09-16,TRUE,7,US,US,1,FALSE
US2016312681P 2016-03-24,2016-03-24,US15467299A 2017-03-23,TRUE,7,US,US,1,FALSE
US15296915A 2016-10-18,2016-10-18,US15296915A 2016-10-18,FALSE,1,US,US,1,FALSE
CA2921675A 2016-02-24,2016-02-24,US15144160A 2016-05-02,FALSE,1,CA,US,1,FALSE
US14658689A 2015-03-16,2015-03-16,US14658689A 2015-03-16,FALSE,2,US,US,1,FALSE
US14937845A 2015-11-10,2015-11-10,US14937845A 2015-11-10,FALSE,1,US,US,1,FALSE
US14865308A 2015-09-25,2015-09-25,US14865308A 2015-09-25,FALSE,1,US,US,1,FALSE
US14822177A 2015-08-10,2015-08-10,US14822177A 2015-08-10,FALSE,1,US,US,1,FALSE
US14712500A 2015-05-14,2015-05-14,US14712500A 2015-05-14,FALSE,1,US,US,1,FALSE
US2014983424P 2014-04-23,2014-04-23,US14692290A 2015-04-21,TRUE,2,US,US,1,FALSE
US2016281429P 2016-01-21,2016-01-21,US15061212A 2016-03-04,TRUE,3,US,US,1,FALSE
US13842530A 2013-03-15,2013-03-15,US13842530A 2013-03-15,FALSE,1,US,US,1,FALSE
US14865400A 2015-09-25,2015-09-25,US14865400A 2015-09-25,FALSE,1,US,US,1,FALSE
US13953758A 2013-07-30,2013-07-30,US13953758A 2013-07-30,FALSE,2,US,US,1,FALSE
US14858471A 2015-09-18,2015-09-18,US14858471A 2015-09-18,FALSE,1,US,US,1,FALSE
US14598281A 2015-01-16,2015-01-16,US14598281A 2015-01-16,FALSE,1,US,US,1,FALSE
US15279113A 2016-09-28,2016-09-28,US15483709A 2017-04-10,FALSE,3,US,US,1,FALSE
EP2011162507A 2011-04-14,2011-04-14,US14111162A 2013-10-10,FALSE,4,EP,US,1,FALSE
US15055185A 2016-02-26,2016-02-26,US15055185A 2016-02-26,FALSE,1,US,US,1,FALSE
US2015141924P 2015-04-02,2015-04-02,US15072470A 2016-03-17,TRUE,3,US,US,1,FALSE
US15171348A 2016-06-02,2016-06-02,US15171348A 2016-06-02,FALSE,1,US,US,1,FALSE
KR2015135483A 2015-09-24,2015-09-24,US15241262A 2016-08-19,FALSE,1,KR,US,1,FALSE
US14610752A 2015-01-30,2015-01-30,US15427382A 2017-02-08,FALSE,7,US,US,1,FALSE
US15414855A 2017-01-25,2017-01-25,US15414855A 2017-01-25,FALSE,1,US,US,1,FALSE
US14501302A 2014-09-30,2014-09-30,US14501302A 2014-09-30,FALSE,1,US,US,1,FALSE
US2014943200P 2014-02-21,2014-02-21,US14505014A 2014-10-02,TRUE,2,US,US,1,FALSE
US13953757A 2013-07-30,2013-07-30,US13953757A 2013-07-30,FALSE,2,US,US,1,FALSE
US2012678908P 2012-08-02,2012-08-02,US14967499A 2015-12-14,TRUE,5,US,US,1,FALSE
US15092824A 2016-04-07,2016-04-07,US15092824A 2016-04-07,FALSE,2,US,US,1,FALSE
KR201462190A 2014-05-23,2014-05-23,US14550690A 2014-11-21,FALSE,1,KR,US,1,FALSE
US15240246A 2016-08-18,2016-08-18,US15240246A 2016-08-18,FALSE,1,US,US,1,FALSE
US2013899921P 2013-11-05,2013-11-05,US14533995A 2014-11-05,TRUE,12,US,US,1,FALSE
US14839525A 2015-08-28,2015-08-28,US14839525A 2015-08-28,FALSE,1,US,US,1,FALSE
US2016394703P 2016-09-14,2016-09-14,US15396297A 2016-12-30,TRUE,3,US,US,1,FALSE
US15359545A 2016-11-22,2016-11-22,US15359545A 2016-11-22,FALSE,1,US,US,1,FALSE
US2015115444P 2015-02-12,2015-02-12,US15043488A 2016-02-12,TRUE,5,US,US,1,FALSE
US2015221997P 2015-09-22,2015-09-22,US15132867A 2016-04-19,TRUE,5,US,US,1,FALSE
US2007944042P 2007-06-14,2007-06-14,US14054584A 2013-10-15,TRUE,5,US,US,1,FALSE
US2013921800P 2013-12-30,2013-12-30,US14585895A 2014-12-30,TRUE,3,US,US,1,FALSE
US2015273878P 2015-12-31,2015-12-31,US15377156A 2016-12-13,TRUE,3,US,US,1,FALSE
US2015103745P 2015-01-15,2015-01-15,US14997245A 2016-01-15,TRUE,3,US,US,1,FALSE
US2009499151A 2009-07-08,2009-07-08,US14680476A 2015-04-07,FALSE,15,US,US,1,FALSE
US14976480A 2015-12-21,2015-12-21,US14976480A 2015-12-21,FALSE,1,US,US,1,FALSE
US201457633P 2014-09-30,2014-09-30,US14869961A 2015-09-29,TRUE,3,US,US,1,FALSE
US15087171A 2016-03-31,2016-03-31,US15087171A 2016-03-31,FALSE,1,US,US,1,FALSE
US13108983A 2011-05-16,2011-05-16,US13335869A 2011-12-22,FALSE,3,US,US,1,FALSE
US15051078A 2016-02-23,2016-02-23,US15051078A 2016-02-23,FALSE,1,US,US,1,FALSE
CN201610237803A 2016-04-15,2016-04-15,US15197802A 2016-06-30,FALSE,2,CN,US,1,FALSE
US2009230592P 2009-07-31,2009-07-31,US2010846295A 2010-07-29,TRUE,2,US,US,1,FALSE
US2011487380P 2011-05-18,2011-05-18,US15182321A 2016-06-14,TRUE,8,US,US,1,FALSE
US14634578A 2015-02-27,2015-02-27,US14634578A 2015-02-27,FALSE,1,US,US,1,FALSE
US14871080A 2015-09-30,2015-09-30,US14871080A 2015-09-30,FALSE,1,US,US,1,FALSE
US15451264A 2017-03-06,2017-03-06,US15451264A 2017-03-06,FALSE,1,US,US,1,FALSE
US2010337645P 2010-02-11,2010-02-11,US13577813A 2012-08-08,TRUE,4,US,US,1,FALSE
US2013765661P 2013-02-15,2013-02-15,US14181552A 2014-02-14,TRUE,3,US,US,1,FALSE
US2016307977P 2016-03-14,2016-03-14,US15456509A 2017-03-11,TRUE,3,US,US,1,FALSE
US15090786A 2016-04-05,2016-04-05,US15090786A 2016-04-05,FALSE,1,US,US,1,FALSE
FR201553091A 2015-04-10,2015-04-10,US15087825A 2016-03-31,FALSE,1,FR,US,1,FALSE
US2015257854P 2015-11-20,2015-11-20,US15372345A 2016-12-07,TRUE,5,US,US,1,FALSE
US201439374P 2014-08-19,2014-08-19,US14503275A 2014-09-30,TRUE,3,US,US,1,FALSE
WO2015CN79094A 2015-05-15,2015-05-15,US15176037A 2016-06-07,FALSE,1,WO,US,1,FALSE
US14591866A 2015-01-07,2015-01-07,US15252092A 2016-08-30,FALSE,3,US,US,1,FALSE
US14572403A 2014-12-16,2014-12-16,US14572403A 2014-12-16,FALSE,1,US,US,1,FALSE
US2016552212F 2016-01-21,2016-01-21,US2016552212F 2016-01-21,FALSE,1,US,US,1,FALSE
CN201630148216F 2016-04-27,2016-04-27,US2016569806F 2016-06-30,FALSE,1,CN,US,1,FALSE
US2012693170P 2012-08-24,2012-08-24,US15263155A 2016-09-12,TRUE,4,US,US,1,FALSE
US2015244930P 2015-10-22,2015-10-22,US15458096A 2017-03-14,TRUE,5,US,US,1,FALSE
IL208830A 2010-10-20,2010-10-20,US13880122A 2013-05-21,FALSE,2,IL,US,1,FALSE
CA2855414A 2014-06-30,2014-06-30,US14747030A 2015-06-23,FALSE,3,CA,US,1,FALSE
US2012664987P 2012-06-27,2012-06-27,US14190082A 2014-02-25,TRUE,5,US,US,1,FALSE
US14685720A 2015-04-14,2015-04-14,US15131460A 2016-04-18,FALSE,5,US,US,1,FALSE
US201479866P 2014-11-14,2014-11-14,US14942600A 2015-11-16,TRUE,9,US,US,1,FALSE
US2014987009P 2014-05-01,2014-05-01,US14699945A 2015-04-29,TRUE,2,US,US,1,FALSE
FR201461501A 2014-11-26,2014-11-26,US14923307A 2015-10-26,FALSE,1,FR,US,1,FALSE
US14541663A 2014-11-14,2014-11-14,US14742972A 2015-06-18,FALSE,3,US,US,1,FALSE
US14341157A 2014-07-25,2014-07-25,US14341157A 2014-07-25,FALSE,2,US,US,1,FALSE
US14802389A 2015-07-17,2015-07-17,US14802389A 2015-07-17,FALSE,1,US,US,1,FALSE
US14573800A 2014-12-17,2014-12-17,US14573800A 2014-12-17,FALSE,1,US,US,1,FALSE
US14109774A 2013-12-17,2013-12-17,US14109774A 2013-12-17,FALSE,1,US,US,1,FALSE
US14224667A 2014-03-25,2014-03-25,US14224667A 2014-03-25,FALSE,2,US,US,1,FALSE
US2013872430P 2013-08-30,2013-08-30,US14975112A 2015-12-18,TRUE,4,US,US,1,FALSE
US2011575146P 2011-08-15,2011-08-15,US15049164A 2016-02-22,TRUE,3,US,US,1,FALSE
NO20121477A 2012-12-07,2012-12-07,US14096192A 2013-12-04,FALSE,1,NO,US,1,FALSE
US14876532A 2015-10-06,2015-10-06,US14876532A 2015-10-06,FALSE,1,US,US,1,FALSE
US2015137483P 2015-03-24,2015-03-24,US15461756A 2017-03-17,TRUE,5,US,US,1,FALSE
US14597817A 2015-01-15,2015-01-15,US14597817A 2015-01-15,FALSE,1,US,US,1,FALSE
US2012747348P 2012-12-30,2012-12-30,US14035615A 2013-09-24,TRUE,10,US,US,1,FALSE
US2016552214F 2016-01-21,2016-01-21,US2016552214F 2016-01-21,FALSE,1,US,US,1,FALSE
